design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_experimental_convex_hull
map_0004,training,300,1,1.4,0.7,True
map_0010,training,450,1,1.4,0.0,True
map_0016,training,450,1,1.1,0.05,True
map_0022,training,450,1,1.1,0.3,True
map_0028,training,300,5,1.3,0.2,True
map_0034,training,300,1,0.6,0.0,True
map_0040,training,300,1,0.8,0.7,True
map_0046,training,450,5,1.2,0.2,True
map_0052,training,300,1,0.7,0.3,True
map_0058,training,450,1,1.0,0.4,True
map_0064,training,300,5,1.3,0.4,True
map_0070,training,450,5,1.0,0.05,True
map_0076,training,300,10,1.4,0.7,False
map_0082,training,750,1,0.6,0.0,False
map_0088,training,300,10,1.0,0.3,False
map_0094,training,450,5,0.6,0.5,False
map_0100,training,300,5,0.9,0.7,False
map_0106,training,300,5,0.6,0.2,False
map_0112,training,600,10,0.8,0.7,False
map_0118,training,600,20,0.6,0.5,False
map_0124,interpolation_holdout,300,1,1.3,0.7,True
map_0130,interpolation_holdout,450,1,1.0,0.5,True
map_0136,interpolation_holdout,300,20,1.4,0.7,False
map_0142,interpolation_holdout,600,1,1.2,0.0,False
