design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_experimental_convex_hull
map_0001,training,300,1,1.1,0.2,True
map_0007,training,300,1,0.6,0.2,True
map_0013,training,450,1,0.8,0.0,True
map_0019,training,300,1,1.2,0.5,True
map_0025,training,450,5,1.0,0.2,True
map_0031,training,450,1,1.2,0.5,True
map_0037,training,300,1,0.8,0.2,True
map_0043,training,300,5,1.4,0.0,True
map_0049,training,300,1,1.0,0.1,True
map_0055,training,300,1,0.9,0.5,True
map_0061,training,300,10,1.3,0.2,True
map_0067,training,300,1,0.8,0.05,True
map_0073,training,600,5,1.0,0.3,False
map_0079,training,750,1,1.4,0.7,False
map_0085,training,750,20,1.4,0.0,False
map_0091,training,750,5,0.6,0.4,False
map_0097,training,600,20,1.0,0.0,False
map_0103,training,450,20,0.7,0.3,False
map_0109,training,450,5,1.2,0.5,False
map_0115,training,450,10,1.1,0.1,False
map_0121,interpolation_holdout,300,1,1.0,0.2,True
map_0127,interpolation_holdout,450,1,1.4,0.05,True
map_0133,interpolation_holdout,600,10,1.0,0.3,False
map_0139,interpolation_holdout,300,10,1.4,0.0,False
