design_id,temperature_K,flame_temperature_K,ignition_temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_count,ignition_delay_s_median,ignition_delay_s_p05,ignition_delay_s_p95,ignition_delay_s_worst,ignition_delay_s_absolute_range,ignition_delay_s_relative_range,idt_shortening_ratio_median,idt_shortening_ratio_p05,idt_shortening_ratio_p95,idt_shortening_ratio_worst,idt_shortening_ratio_absolute_range,idt_shortening_ratio_relative_range,EI_g_per_MJ_NOx_NO2eq_median,EI_g_per_MJ_NOx_NO2eq_p05,EI_g_per_MJ_NOx_NO2eq_p95,EI_g_per_MJ_NOx_NO2eq_worst,EI_g_per_MJ_NOx_NO2eq_absolute_range,EI_g_per_MJ_NOx_NO2eq_relative_range,EI_g_per_MJ_N2O_median,EI_g_per_MJ_N2O_p05,EI_g_per_MJ_N2O_p95,EI_g_per_MJ_N2O_worst,EI_g_per_MJ_N2O_absolute_range,EI_g_per_MJ_N2O_relative_range,EI_g_per_MJ_NH3_slip_median,EI_g_per_MJ_NH3_slip_p05,EI_g_per_MJ_NH3_slip_p95,EI_g_per_MJ_NH3_slip_worst,EI_g_per_MJ_NH3_slip_absolute_range,EI_g_per_MJ_NH3_slip_relative_range,lbv_conservative_m_per_s_median,lbv_conservative_m_per_s_p05,lbv_conservative_m_per_s_p95,lbv_conservative_m_per_s_worst,lbv_conservative_m_per_s_absolute_range,lbv_conservative_m_per_s_relative_range,lbv_enhancement_ratio_median,lbv_enhancement_ratio_p05,lbv_enhancement_ratio_p95,lbv_enhancement_ratio_worst,lbv_enhancement_ratio_absolute_range,lbv_enhancement_ratio_relative_range,complete_mechanism_set,support_tier,reactivity_improved,screening_pareto,exploratory_extrapolative_pareto,requires_direct_flame_confirmation,idt_shortening_orders,lbv_model_range_percent,idt_model_range_percent
screen_0001,600.0,300.0,1200.0,5,0.6,0.0,False,False,False,8,0.0404995554173508,0.0200297123857189,0.0843798139996715,0.0961008151843386,0.0814974706029892,0.8480414078347039,1.0,1.0,1.0,1.0,0.0,0.0,3.9349440040177273,3.241997743548306,4.707908296601519,5.032200224753125,1.91991654586498,0.3815262628901395,0.0002842719766156,0.0002380250688753,0.0004022240224192,0.0004596946989159,0.0002220242126867,0.482981886043717,4.981944666793158e-09,3.88568140179143e-09,5.477969939866329e-09,5.548624729837029e-09,2.1059888909005833e-09,0.3795515093273282,0.005765616343123,0.0046851708185098,0.0070350408256695,0.0046846724757106,0.002361823357118,0.3351770033148497,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False,-0.0,33.51770033148497,84.80414078347039
screen_0002,600.0,300.0,1200.0,5,0.6,0.05,False,False,False,8,0.0050481544592448,0.0017145632192877,0.0117536820468863,0.0131694407406347,0.0117640318970768,0.8932825720365277,0.1203671423666442,0.0828769891821154,0.1632512841073919,0.1632674001857957,0.0875852500987618,0.5364527762375783,4.244356223114348,3.4566544965119963,5.036488727921296,5.38174052318883,2.041618256717918,0.379360217743869,0.0002897639828185,0.000243276935121,0.0003500785675935,0.0003763401361988,0.0001335273725694,0.3548050280211535,5.4689280375797006e-09,4.2395721227544296e-09,6.0073015345632065e-09,6.052315602800137e-09,2.306286873076711e-09,0.3810585938396363,0.0072746391693143,0.0058513470862804,0.0089934148573632,0.0058345033034919,0.0031604773429754,0.3513601048398753,1.260467960406023,1.2401024982295936,1.280167889180068,1.2374293708959967,0.0450455584053322,0.0351239290345209,True,extrapolative,True,False,False,False,0.7871005227513357,35.136010483987526,89.32825720365277
screen_0003,600.0,300.0,1200.0,5,0.6,0.1,False,False,False,8,0.0012831465576641,0.0006800509679217,0.0035832734481064,0.0040816839125765,0.0035166495475143,0.861568319065297,0.0388558283749315,0.0220952258359052,0.0463110735745049,0.0475546343092014,0.0274267473457439,0.5767418411298164,4.491169432714919,3.659850963727495,5.362660117984745,5.709505030873629,2.1533001096244315,0.3771430444461747,0.0002953481780656,0.0002486120799241,0.0003319349980575,0.0003452556723873,9.72219518328e-05,0.2815940753718844,6.006212518093498e-09,4.623957858587193e-09,6.6308977745385904e-09,6.669938974509731e-09,2.5864356822800988e-09,0.3877750144588411,0.0092312781126314,0.0073695130342614,0.0115625850732012,0.0073154251101541,0.004249969546369,0.3674729373780545,1.603292758220939,1.5480512070842176,1.6455316223085064,1.5410295121774211,0.1067821243612505,0.0648023851716163,True,extrapolative,True,False,False,False,1.322807153661552,36.74729373780545,86.1568319065297
screen_0004,600.0,300.0,1200.0,5,0.6,0.2,False,False,False,8,0.0003091048180412,0.0002196593284255,0.0008723928838096,0.0009997923470256,0.0007974870845075,0.7976527194672357,0.0105410477703616,0.0046029055831188,0.012986472382819,0.0138533512916262,0.0098303630312564,0.7096018013488556,4.904038898771825,4.032902040209923,5.990467305657528,6.302706066346036,2.349021590148709,0.3727004822089924,0.000306781103929,0.00025948758089,0.0003337263761275,0.00034155391756,8.28815593835e-05,0.2426602510537458,7.251350353029156e-09,5.509491287062185e-09,8.119556026064752e-09,8.171643012059516e-09,3.298883193439914e-09,0.4036988875519282,0.0156175499508807,0.0124857370713682,0.0198082141722728,0.0122944136843643,0.0076120428377784,0.3823906494514098,2.741815106265786,2.549354941642544,2.8156218046050805,2.5093801196749568,0.3156348940856603,0.1117285722547336,True,extrapolative,True,False,True,False,1.858445152852152,38.23906494514098,79.76527194672357
screen_0005,600.0,300.0,1200.0,5,0.6,0.3,False,False,False,8,0.0001359802311022,0.0001040211216374,0.0003360793720709,0.0003732266837136,0.0002704341407418,0.7245841536596052,0.0044883758419194,0.0018918461806855,0.0067114480571,0.0072793439296477,0.005637611540538,0.7744669842534623,5.258297855552326,4.361226895037277,6.526953423413244,6.812430304313159,2.5081427848197557,0.3681715148310248,0.000318542093972,0.0002705609549102,0.0003487574279145,0.0003580764205097,8.856803402320003e-05,0.2473439437791765,8.736344228871466e-09,6.590662586552697e-09,9.92820112060226e-09,1.0004441763876313e-08,4.167352151779915e-09,0.416550193417812,0.0252482177719565,0.0200846629572968,0.0311544984890875,0.0200728126387347,0.0111878036828863,0.3578881352748122,4.377244199905151,4.041922755413228,4.663261971267065,3.9226005193828986,0.8628528802922739,0.1803074459675739,True,extrapolative,True,False,True,False,2.1379077608756023,35.788813527481224,72.45841536596052
screen_0006,600.0,300.0,1200.0,5,0.6,0.4,False,False,False,8,7.310146864721623e-05,5.765401262072997e-05,0.0001526443803698,0.0001623311802137,0.0001083704240074,0.667588468615746,0.0023264444251929,0.0010053455495816,0.0041033944826705,0.0044701665894505,0.0036083421939887,0.8072053069575357,5.549423614328852,4.640455842193387,6.964734001572096,7.229546959104758,2.6261791374204897,0.3632563910679255,0.0003306086673866,0.0002817267541401,0.0003653754836332,0.0003769041337753,9.644954454699996e-05,0.2558994075785344,1.051372688790357e-08,7.901983146016944e-09,1.2092167054762525e-08,1.219512056525327e-08,5.187028803176722e-09,0.4253364101996475,0.0418725426038632,0.0323064972442216,0.0487169593721396,0.0317244784844973,0.0173011567166153,0.3529002050792942,6.982111548083191,6.347736083384885,7.920865068509851,6.199552500196354,2.123630881516654,0.2551464727044841,True,extrapolative,True,False,True,False,2.349676291738093,35.29002050792942,66.7588468615746
screen_0007,600.0,300.0,1200.0,5,0.6,0.5,False,False,False,8,4.6137724176845066e-05,3.5751424411649024e-05,7.778726458388167e-05,7.981284054439225e-05,4.6550075100982406e-05,0.5832404257694731,0.00135060530249,0.0006239007161947,0.0027185448303697,0.0030049262116206,0.0024736760080451,0.8232069055403143,5.801867379906994,4.859480519161191,7.283626798925167,7.531709868769986,2.6922094681847684,0.3574499702050309,0.000342970728918,0.0002928439708072,0.0003814303060392,0.0003947331327813,0.0001033354638629,0.2617856351069281,1.2634948403296529e-08,9.485349570705404e-09,1.4659132940575424e-08,1.4787962603610309e-08,6.364473604391588e-09,0.4303820461946378,0.0644365538574495,0.04898673811881,0.0716246790512319,0.0476410262484013,0.0244966762486067,0.3395821519214966,10.348993891994237,9.455355780858554,12.456157629416166,9.309941644415863,3.9373264722487686,0.297217995255621,True,extrapolative,True,False,True,False,2.522166187980528,33.95821519214966,58.32404257694731
screen_0008,600.0,300.0,1200.0,5,0.6,0.7,False,False,False,8,2.4454444931391592e-05,1.930199662655486e-05,2.930060413898444e-05,2.9622538604982485e-05,1.1221009028938816e-05,0.37879970986185,0.0006120724585042,0.000295568417792,0.001417451100166,0.0016532453149125,0.0013593486348543,0.8222304473466888,5.886983505011635,4.99752228971829,7.355153376543563,7.570582934738308,2.5766983428075125,0.3403566627589664,0.0003686648802907,0.0003140019795927,0.0004078092464255,0.0004211469748285,0.000108606306033,0.2578821943983495,1.812136984185769e-08,1.3690285702014338e-08,2.1135024183519463e-08,2.1296865557974052e-08,9.114094080144534e-09,0.4279547173425247,0.112615780862201,0.0882382159142029,0.1240442367789937,0.087134606989361,0.0391217801596262,0.3098598102087391,18.15553118991904,16.774697136752827,22.057632664540787,16.642259587069525,6.917934371174315,0.2936280738365353,True,extrapolative,True,False,True,False,2.7816626993577063,30.985981020873908,37.879970986185
screen_0009,600.0,300.0,1200.0,5,0.7,0.0,True,False,False,8,0.0403392726531724,0.0201171122349586,0.0789077961326904,0.0896406399430961,0.0749546335887097,0.8361679884959649,1.0,1.0,1.0,1.0,0.0,0.0,4.627426421160035,4.2682029154781045,6.296698039080852,6.725941033865102,2.4673589011916395,0.3668421844272038,0.0003130712285342,0.000264610414475,0.0003407528336819,0.0003490617176134,8.574013853899999e-05,0.2456303118119663,3.207506850907733e-08,2.3942464430799477e-08,3.705881411819018e-08,3.723829510321591e-08,1.6082516395648713e-08,0.4318811146179412,0.0144722589667192,0.0125532416294774,0.0167890832513713,0.0124213160863803,0.0046538605370525,0.2725512385427354,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False,-0.0,27.25512385427354,83.61679884959649
screen_0010,600.0,300.0,1200.0,5,0.7,0.05,True,False,False,8,0.0043561082876869,0.0016095730690538,0.010353880279062,0.0114460546853185,0.0101252802933587,0.8846087644807502,0.1087214954473605,0.0765874709967707,0.1432782560946518,0.1455644412650396,0.0761636763408837,0.5232299569797203,4.841844718048721,4.451545859257953,6.615142968751653,7.026087680189568,2.576893512959328,0.3667607963710754,0.0003188195552137,0.0002702185355178,0.0003499985360799,0.0003600399434886,9.130579523820002e-05,0.2535990711294261,3.5361109344301456e-08,2.6272550762768752e-08,4.10738263464429e-08,4.128250772803056e-08,1.806967718652001e-08,0.4377078375558764,0.0173107423917223,0.0149567964041471,0.0201399114291444,0.0148059150960003,0.0054808768401922,0.2701697171948652,1.1943568810204184,1.18078202896931,1.221856297292209,1.1768486912825993,0.0482894003122817,0.0394154754011597,True,extrapolative,True,False,False,False,0.8369447022787512,27.01697171948652,88.46087644807503
